CT_GEOID,pesticide_lbs,pesticide_lbs_mile2
53027000700,3013.701487,7.93022493
53037975200,4091.276932,6.871268834
53037975401,58.96631374,24.03443758
53037975402,446.2440583,80.93726771
53037975500,481.6015754,76.26674085
53037975600,102.9622478,31.57225849
53039950100,91545.45523,70.5085842
53039950200,14298.75463,39.83261166
53039950300,1551.992376,6.280795157
53041970100,2549.000108,14.62159276
53041970200,660.4864187,48.50421056
53041970300,167.2210888,28.40255321
53041970400,78.22514739,5.599434683
53041970500,7.563343713,7.743974277
53041970600,2.58E-05,5.33E-05
53041970700,36.87359203,7.440166754
53041970800,113.0262178,7.712269409
53041970900,5.046784627,6.976124762
53041971000,74.36350836,19.33607651
53041971100,968.5528881,7.098537912
53041971200,1466.246225,26.17224612
53041971300,600.6500947,14.57978842
53041971400,1383.24064,64.9266543
53041971500,3644.102303,13.31527651
53041971600,1181.677725,16.66902498
53041971700,2679.101502,9.967186357
53041971800,1536.795692,3.535298548
53041971900,382.2363679,1.742673497
53041972000,1579.448966,2.320986348
53053070100,717.1875488,0.972181809
53053070203,136.2266521,9.776420344
53053070206,68.39433829,4.495593841
53053070403,170.3091699,30.91570597
53053070404,29.73372325,14.89625435
53053071306,11.00744706,2.329792423
53053071309,2.434635309,1.525333987
53053071310,1.713596285,0.682609561
53053071403,0.238609393,0.101360441
53053071406,57.30887845,9.014997543
53053071407,9.586402434,2.941381499
53053071408,0,0
53053071409,0,0
53053071410,1.634249491,0.72176599
53053071411,0.140437085,0.107629581
53053071506,1.371896754,0.903379231
53053072000,4.06111549,3.362913898
53053072800,42.82104657,6.136191879
53053072901,32.20424541,4.498136856
53053072903,44.19018336,3.99580749
53053072905,2.332594351,1.14514132
53053072906,1095.922094,12.29250898
53053072907,34.16468403,5.462419625
53053073001,464.6034941,18.41441487
53053073005,279.5069062,13.44291301
53053073006,1274.237483,27.10650597
53053073108,3.535771556,0.924860776
53053073111,4.006246842,2.779916481
53053073113,43.81178193,6.100069766
53053073114,0.849441978,0.317864154
53053073115,2.988617291,1.129477845
53053073116,34.28329273,5.501904996
53053073117,259.508113,13.53389507
53053073118,99.02869398,8.233913902
53053073119,175.6657415,4.564224079
53053073120,0.04066874,0.03176258
53053073121,0.214763754,0.19520653
53053073122,1.300170459,0.669197282
53053073123,25.52778831,6.912494992
53053073124,1.372652939,0.907409265
53053073125,1.813907937,0.750760042
53053073126,0.065069988,0.120053651
53053073200,606.9110025,2.810385037
53059950100,1378.499378,0.990183254
53059950200,649.2937701,4.963915391
53059950300,51.10493812,1.611550922
53059950400,759.6309435,8.333592122
53059950500,39.82619902,1.098922422
53067010100,0.72810969,0.552376463
53067010200,2.186685592,0.95915614
53067010300,0.942235646,0.614595038
53067010400,0.000810709,0.00049546
53067010510,0.027713914,0.026717936
53067010520,0.011596666,0.007327165
53067010600,0.291103001,0.182471465
53067010700,0.055427828,0.027180576
53067010800,3.668364175,0.566964481
53067010910,0.588038551,0.241923142
53067010920,4.615218726,1.27742842
53067011000,21.84875817,1.863060552
53067011100,0.860695033,0.327990511
53067011200,0.845221228,0.320757965
53067011300,4.692695779,3.164881843
53067011410,0.023193335,0.022683686
53067011420,0.038376505,0.015717951
53067011500,0.018205707,0.010584345
53067011610,9.059535106,2.51189194
53067011621,1.885572061,1.057178529
53067011622,0.044641866,0.04400879
53067011623,0.113352193,0.096627775
53067011624,25.94514542,6.10369187
53067011710,1.839372651,0.499458528
53067011720,56.76208795,7.083014925
53067011810,106.6646028,1.451007897
53067011821,56.56287825,4.261929744
53067011822,924.1707483,65.91656086
53067011900,139.837361,2.614666874
53067012000,4.518806169,0.496690161
53067012100,56.88713415,5.040302534
53067012211,35.34794908,4.912217293
53067012212,7.045275034,1.817611288
53067012221,42.28680037,3.135699712
53067012222,12.26055015,1.161629656
53067012310,15.61047863,3.049566573
53067012320,120.7195791,10.21144785
53067012330,0.143090149,0.116808119
53067012411,31.87368429,3.333484436
53067012412,46.40627002,5.467644245
53067012420,253.0628987,7.34303756
53067012510,115.0034777,2.0227236
53067012520,369.544135,3.705825508
53067012530,131.736387,4.982572493
53067012610,212.0916628,4.168763526
53067012620,247.4289856,4.10337258
53067012710,53.03094053,3.303440625
53067012720,383.6268233,12.59472663
53067012730,529.3021132,12.37622239
53069950100,1300.972942,4.919158112
53077000100,0.388393879,0.341806819
53077000200,11.38706323,8.281083905
53077000300,33.83659209,16.97267213
53077000400,523.2920915,128.0096539
53077000500,10.85423461,11.30015432
53077000600,2.958180271,5.007581106
53077000700,3.662870255,3.238060066
53077000800,19.57339362,19.63415369
53077000901,127.423594,56.17741952
53077000902,402.0490909,211.3148289
53077001000,12.22355879,12.17043596
53077001100,698.0785413,141.480838
53077001201,0.747381399,1.52157934
53077001202,1.307755243,1.214947567
53077001300,451.4665888,145.3722912
53077001400,48.82692361,22.82760126
53077001501,5.532945803,4.777936862
53077001502,0.748516339,1.150346533
53077001601,4070.599777,136.7364231
53077001602,749.1316487,88.34016246
53077001702,6876.830842,213.1157542
53077002801,12994.07219,365.0389114
53077002802,3603.393946,312.3027896
53077002900,20789.9617,252.9540198
53077003001,17591.90526,14.98260146
53077003002,4308.322029,383.0648563
53077003100,5428.263707,211.2396803
53077003200,580.4802228,137.3108279
53077003400,3609.963721,337.611882
53077940001,60260.89019,511.6901124
53077940002,50634.36142,563.3162712
53077940003,111544.1602,62.46303241
53077940004,379.2663003,117.3793007
53077940005,690.2719726,348.1508763
53077940006,960.298781,552.1781338
53007960100,11350.96033,9.373375142
53007960200,4136.870733,4.174811023
53007960500,18926.09878,58.89629595
53007960600,1652.646847,449.957737
53007960700,3091.656943,55.75768451
53007960801,1104.969424,113.4624492
53007960802,526.5101792,173.8013389
53007961000,23.97985663,17.61663089
53007961100,529.8049877,180.212052
53007961200,15271.24894,123.3774718
53007961301,220.7748777,34.21587862
53007961302,386.0530105,36.61700228
53009000700,37.96693053,7.914405852
53009000800,0.178179364,0.146720912
53009000900,0.169188913,0.188903957
53009001000,0.24903329,0.360241616
53009001100,3.339696829,0.781074453
53009001200,4.460445399,1.747363501
53009001300,10.84058579,2.82119978
53009001400,231.9104265,6.489262238
53009001500,801.9522021,4.056671702
53009001600,729.375364,87.76983796
53009001700,895.2624137,72.13169148
53009001800,213.6831578,2.494803688
53009001900,3736.961007,260.5612246
53009002000,536.1994956,66.78767759
53009002100,8.067521065,5.542418273
53009002300,310.1097137,2.771958844
53009990100,0,0
53017950400,529.6980635,115.0618804
53017950500,8.405979139,8.007664507
53017950600,306.7902134,133.038724
53017950700,46.15214317,45.33740485
53017950800,416.3107946,165.2981606
53029970100,494.5773228,47.4137273
53029970200,397.8658195,57.20518475
53029970300,703.5956094,38.71802417
53029970400,172.7370987,30.79970296
53029970500,534.6646373,60.01261476
53029970601,0,0
53029970602,0,0
53029970700,3.275965599,4.13770313
53029970800,0.142549289,0.235947512
53029970900,117.3048832,26.05764902
53029971000,779.876434,57.81303128
53029971100,1130.828105,62.41943199
53029971300,272.4964267,12.65471046
53029971400,103.5651239,9.239141546
53029971500,1605.63349,150.1760375
53029971600,71.72611832,8.938333817
53029971700,92.64300455,9.342510094
53029971800,296.6304305,35.42127438
53029971900,552.9821853,27.50317378
53029972000,427.5290168,23.06027606
53029972100,157.8437706,12.77537348
53031950202,38.149341,0.390559539
53031950300,144.6119343,1.794701091
53031950400,66.14134625,4.88400861
53031950500,158.4888432,2.543512699
53031950601,18.89580065,4.80360167
53031950602,22.0659135,5.073845302
53033000100,0.010062228,0.013992021
53033000200,0.015093343,0.01189516
53033000300,0,0
53033000401,0.062614501,0.118963849
53033000402,0,0
53033000500,0.005031114,0.004587398
53033000600,0,0
53033000700,0,0
53033000800,0,0
53033000900,1.544500186,4.199470457
53033001000,0,0
53033001100,0,0
53033001200,0,0
53033001300,0.015093343,0.033034699
53033001400,0.015093343,0.018337259
53033001500,0,0
53033001600,0.520132426,0.689303926
53033001701,0.469821395,1.362976129
53033001702,0.03521781,0.071251388
53033001800,0,0
53033001900,0.010062228,0.015666608
53033002000,0.428608621,0.980464731
53033002100,0,0
53033002200,0.027609195,0.025891509
53033002400,0,0
53033002500,0.489945852,1.289357166
53033002600,0,0
53033002700,0,0
53033002800,0,0
53033002900,0,0
53033003000,0,0
53033003100,0.909455995,1.093331132
53033003200,0.015093343,0.018851722
53033003300,0,0
53033003400,0,0
53033003500,1.167006623,2.352192326
53033003600,0.005031114,0.010891008
53033003800,0,0
53033003900,0,0
53033004000,110.3030238,114.311698
53033004100,0.606470298,0.490969145
53033004200,3.193157768,3.356577785
53033004301,0.509887325,1.348685107
53033004302,0,0
53033004400,0,0
53033004500,0,0
53033004600,5.828854661,5.838864631
53033004700,0.030186685,0.039151551
53033004800,0.038184615,0.073974982
53033004900,0,0
53033005000,1.136819828,3.887887315
53033005100,0.080497827,0.236388647
53033005200,0.692154059,1.856541857
53033005301,0,0
53033005302,10.90618654,11.97899667
53033005400,0.065271292,0.142081291
53033005600,0.023750201,0.020458137
53033005700,0.588110642,0.302960463
53033005801,0,0
53033005802,0.999728898,0.833244197
53033005900,0,0
53033006000,0.454727887,0.895311074
53033006100,0.455926981,1.037511952
53033006200,0.657750482,0.67956061
53033006300,0.015093343,0.016410015
53033006400,0,0
53033006500,0.237426172,0.535875881
53033006600,0.050311142,0.123705759
53033006700,0.232395003,0.488412878
53033006800,0,0
53033006900,0,0
53033007000,0,0
53033007100,0,0
53033007200,0,0
53033007300,0,0
53033007401,0,0
53033007402,0,0
53033007500,0.010062228,0.032514603
53033007600,0.040248913,0.182279453
53033007700,0.454727887,1.112440595
53033007800,0.144720071,0.178223234
53033007900,0.019941504,0.073951587
53033008001,0.24748851,1.276753333
53033008002,0,0
53033008100,0,0
53033008200,0,0
53033008300,0.005031114,0.054938773
53033008400,0,0
53033008500,1.136819828,6.206843125
53033008600,0.020124457,0.073247814
53033008700,0,0
53033008800,0.03521781,0.096181981
53033008900,0.015093343,0.03061529
53033009000,1.834917329,5.789323849
53033009100,0.682091941,4.21553208
53033009200,0,0
53033009300,0.245362813,0.06711737
53033009400,0.150740851,0.226559449
53033009500,2.197926742,2.227823438
53033009600,0,0
53033009701,0.010062228,0.014382299
53033009702,0,0
53033009800,0.262581798,0.352255527
53033009900,2.376664757,0.94234571
53033010001,0.595599084,0.662965373
53033010002,0,0
53033010100,2.603284531,2.698598409
53033010200,0.120335798,0.110275767
53033010300,0.140871197,0.221495663
53033010401,0.682091941,1.083916481
53033010402,0,0
53033010500,0.919518113,1.38620299
53033010600,0,0
53033010701,0.68712311,1.219844591
53033010702,0.05012818,0.165956135
53033010800,0.736211017,0.469233776
