,GEOID10,n_loans,n_homes,n_hcl,per_hcl,rank_hcl
179,53061053508,237,1277,32,0.135021097,0.820655967
180,53061052905,166,1208,33,0.198795181,0.94905792
181,53061041809,248,1004,28,0.112903226,0.737613398
182,53061051928,265,908,5,0.018867925,0.064898814
183,53061041303,252,1229,12,0.047619048,0.344731333
184,53061051923,489,1708,25,0.051124744,0.372644801
185,53061051925,844,2041,40,0.047393365,0.340544313
186,53061052208,181,964,17,0.093922652,0.649685973
187,53061052708,402,1813,35,0.087064677,0.613398465
188,53061053507,428,1726,41,0.095794393,0.656664341
189,53061053509,174,1268,27,0.155172414,0.874389393
190,53061040500,178,983,20,0.112359551,0.735519888
191,53061052003,1022,2775,39,0.03816047,0.262386602
192,53061052118,599,2457,24,0.040066778,0.282623866
193,53077001701,105,1111,16,0.152380952,0.868108863
194,53077001400,70,1175,16,0.228571429,0.979762736
195,53077000700,260,2040,63,0.242307692,0.985345429
196,53077940002,40,1254,7,0.175,0.909281228
197,53077002200,293,2538,41,0.139931741,0.832519191
198,53077001100,344,2628,63,0.183139535,0.923935799
199,53077002900,190,2264,11,0.057894737,0.424982554
200,53077002002,308,2292,52,0.168831169,0.897418004
201,53077001000,307,1974,48,0.156351792,0.876482903
202,53077002001,119,2104,24,0.201680672,0.950453594
203,53077000200,54,1250,10,0.185185185,0.928122819
204,53077001800,139,2286,20,0.143884892,0.840893231
205,53077000100,22,440,4,0.181818182,0.921144452
206,53077940003,29,1145,7,0.24137931,0.984647592
207,53077940001,67,1892,9,0.134328358,0.81786462
208,53077002701,41,838,9,0.219512195,0.971388695
209,53077003100,243,1947,18,0.074074074,0.53593859
210,53077940004,87,1609,21,0.24137931,0.984647592
211,53077000800,328,1877,40,0.12195122,0.773900907
212,53077000400,627,3151,47,0.074960128,0.5380321
213,53077001300,57,956,14,0.245614035,0.987438939
214,53077003200,385,2484,46,0.119480519,0.766224703
215,53077000300,78,1416,13,0.166666667,0.895324494
216,53077000600,106,1786,27,0.254716981,0.990928123
217,53077000500,243,1661,43,0.176954733,0.916259595
218,53077001602,435,2808,41,0.094252874,0.65038381
219,53077001501,66,1674,13,0.196969697,0.948360084
220,53077001502,34,827,9,0.264705882,0.993021633
221,53077001202,175,2120,39,0.222857143,0.974877879
222,53077001601,112,860,7,0.0625,0.462665736
223,53077002802,820,3180,52,0.063414634,0.466852756
224,53077000902,151,1403,23,0.152317881,0.867411026
225,53077000901,520,2904,53,0.101923077,0.684577809
226,53077002801,264,1946,26,0.098484848,0.669225401
227,53077003002,140,1335,12,0.085714286,0.603628751
228,53077002102,139,2075,19,0.136690647,0.824842987
229,53077002101,31,590,3,0.096774194,0.659455687
230,53077001902,244,1856,45,0.18442623,0.926727146
231,53077940006,67,1049,13,0.194029851,0.944173064
232,53077940005,91,1182,10,0.10989011,0.723656664
233,53077001201,115,1217,25,0.217391304,0.967899512
234,53077001901,92,1028,16,0.173913043,0.907187718
235,53077003400,263,1667,28,0.106463878,0.709002094
236,53077003001,195,2633,21,0.107692308,0.71388695
237,53077001702,438,1967,55,0.125570776,0.784368458
238,53035090700,314,2162,22,0.070063694,0.512212142
239,53035090800,234,1726,7,0.02991453,0.174459177
240,53035090900,532,2319,22,0.041353383,0.29448709
241,53035091000,426,2741,24,0.056338028,0.412421493
242,53035080101,235,843,21,0.089361702,0.625261689
243,53035080102,292,1663,29,0.099315068,0.673412421
244,53035080200,197,1328,18,0.091370558,0.632937893
245,53035080300,314,1017,21,0.066878981,0.493370551
246,53035080400,256,1505,30,0.1171875,0.754361479
247,53035080600,421,2048,51,0.121140143,0.772505234
248,53035080700,260,1469,20,0.076923077,0.550593161
249,53035092801,262,1733,16,0.061068702,0.448709002
250,53035091204,157,1116,9,0.057324841,0.418004187
251,53035091302,319,2129,9,0.028213166,0.155617585
252,53035091400,191,1373,9,0.047120419,0.337752966
253,53035091500,332,1439,22,0.06626506,0.489183531
254,53035091600,413,2132,32,0.07748184,0.551988835
255,53035091700,509,2692,48,0.094302554,0.651081647
256,53035091800,204,1321,17,0.083333333,0.589672017
257,53035092000,294,2402,19,0.06462585,0.477320307
258,53035080500,153,900,5,0.032679739,0.199581298
259,53035080900,343,1807,28,0.081632653,0.577110956
260,53035081000,436,1316,47,0.107798165,0.714584787
261,53035081100,256,1090,32,0.125,0.781577111
262,53035081200,257,1177,21,0.081712062,0.577808793
263,53035091301,306,1807,19,0.062091503,0.455687369
264,53035091201,261,1082,9,0.034482759,0.225401256
265,53035091203,379,1902,22,0.058047493,0.426378227
266,53035091900,255,1639,20,0.078431373,0.561060712
267,53035090101,318,2804,22,0.06918239,0.508025122
268,53035090102,397,2635,27,0.068010076,0.499651082
269,53035092100,1037,2998,51,0.049180328,0.35799023
270,53035092200,435,1890,51,0.117241379,0.755757153
271,53035092400,366,2070,42,0.114754098,0.743893929
272,53035092500,399,2201,31,0.077694236,0.553384508
273,53007960500,207,2935,12,0.057971014,0.425680391
274,53007960600,172,1469,10,0.058139535,0.428471738
275,53007960300,290,3952,27,0.093103448,0.64410328
276,53007960100,102,1349,11,0.107843137,0.715282624
277,53007960200,306,5066,20,0.065359477,0.482903001
278,53007961200,300,1709,21,0.07,0.511514306
279,53007960400,145,2171,10,0.068965517,0.507327285
280,53007960700,301,1468,12,0.03986711,0.281228193
281,53007961000,236,2043,19,0.080508475,0.572923936
282,53007961100,357,3054,40,0.112044818,0.733426378
283,53007960802,239,2240,19,0.079497908,0.568039079
284,53007961302,441,2686,26,0.058956916,0.434752268
285,53007961301,86,499,3,0.034883721,0.231681786
286,53007960801,171,1075,6,0.035087719,0.23517097
287,53035092600,488,2410,50,0.102459016,0.688066992
288,53035092901,296,2345,25,0.084459459,0.595952547
289,53035092300,532,2236,54,0.101503759,0.681786462
290,53035090300,1,1233,0,0,0.011863224
291,53035090400,261,1787,13,0.049808429,0.364270761
292,53035940100,425,2881,23,0.054117647,0.399162596
293,53035940000,197,1627,12,0.060913706,0.448011165
294,53035091100,277,2081,19,0.068592058,0.501744592
295,53035092802,226,1682,16,0.07079646,0.517096999
296,53035092803,150,1144,19,0.126666667,0.786461968
297,53035092902,358,2029,42,0.117318436,0.75645499
298,53035090202,304,2080,12,0.039473684,0.277739009
299,53035090502,337,1736,9,0.026706231,0.132588974
300,53035090201,355,1871,18,0.050704225,0.371946964
301,53035090501,160,1223,11,0.06875,0.505233775
302,53035092704,161,1404,15,0.093167702,0.645498953
303,53035092701,272,1844,19,0.069852941,0.509420796
304,53043960100,145,727,18,0.124137931,0.776692254
305,53043960200,154,1851,13,0.084415584,0.59525471
306,53043960400,125,1545,20,0.16,0.88346127
307,53043960300,108,1581,11,0.101851852,0.683182135
308,53051970100,90,1352,17,0.188888889,0.932309839
309,53051970200,75,1782,4,0.053333333,0.392184229
310,53051970300,180,1531,18,0.1,0.676901605
311,53051970400,108,1513,4,0.037037037,0.251221214
312,53051970500,116,1562,18,0.155172414,0.874389393
313,53019940000,9,999,2,0.222222222,0.974180042
314,53019970100,64,1518,5,0.078125,0.557571528
315,53019970200,83,1745,8,0.096385542,0.658757851
316,53057951900,206,1481,12,0.058252427,0.429169574
317,53057950800,268,2663,17,0.063432836,0.467550593
318,53057951600,222,1580,20,0.09009009,0.628750872
319,53057951700,294,1507,34,0.115646259,0.748778786
320,53057951800,157,1225,20,0.127388535,0.789253315
321,53057951200,211,1778,14,0.066350711,0.489881368
322,53057951300,93,783,11,0.11827957,0.762037683
323,53057952700,174,1537,11,0.063218391,0.465457083
324,53057952100,131,1384,3,0.022900763,0.099790649
325,53057951000,136,1225,20,0.147058824,0.854152128
326,53057952200,187,1116,27,0.144385027,0.842288904
327,53057952600,241,1526,25,0.10373444,0.696441033
328,53057952500,143,1109,17,0.118881119,0.76273552
329,53057950900,166,1472,13,0.078313253,0.558269365
330,53057951400,272,1632,36,0.132352941,0.810188416
331,53057951500,628,3356,68,0.108280255,0.718073971
332,53057951100,211,2654,37,0.17535545,0.911374738
333,53057952402,557,2673,52,0.093357271,0.647592463
334,53057952302,839,2536,73,0.087008343,0.612002791
335,53057952401,211,1052,26,0.123222749,0.775296581
336,53057952301,153,905,12,0.078431373,0.561060712
337,53057950100,37,932,2,0.054054054,0.397069086
338,53057940200,168,1079,4,0.023809524,0.107466853
339,53057940300,303,2370,11,0.03630363,0.240753664
340,53057940400,530,3095,21,0.039622642,0.279134682
341,53057940500,89,831,0,0,0.011863224
342,53057940600,38,635,1,0.026315789,0.129099791
343,53057940700,78,770,4,0.051282051,0.374738311
344,53057940800,135,1485,11,0.081481481,0.576413119
345,53009002300,204,2299,11,0.053921569,0.395673412
346,53009002100,128,1205,8,0.0625,0.462665736
347,53009001300,147,1506,7,0.047619048,0.344731333
348,53009000300,127,2038,11,0.086614173,0.607815771
349,53009000800,240,1744,26,0.108333333,0.718771807
350,53009001800,114,1208,8,0.070175439,0.513607816
351,53009000700,233,1432,16,0.068669528,0.502442428
352,53009001500,68,927,3,0.044117647,0.317515701
353,53009000900,157,1171,15,0.095541401,0.655966504
354,53009001400,216,2101,12,0.055555556,0.4068388
355,53009001700,243,2397,6,0.024691358,0.117934403
356,53009000600,83,1926,5,0.060240964,0.443824145
357,53009001200,220,1606,16,0.072727273,0.52965806
358,53009002000,449,2411,12,0.026726058,0.133286811
359,53009000200,17,609,2,0.117647059,0.759246336
