"County Name","County","Cumulative Smoke Score (2016-2022)"
"n/a","State Total","2289"
"Grays Harbor","53027001600","1130"
"Grays Harbor","53027940000","975"
"Grays Harbor","53027990000","1070.9"
"Island","53029970100","1389.9"
"Island","53029970200","1389.9"
"Island","53029970300","1242.1"
"Island","53029970400","1370.6"
"Island","53029970500","1252.6"
"Island","53029970601","1370.6"
"Island","53029970602","1347.6"
"Island","53029970700","1347.6"
"Island","53029970800","1370.6"
"Island","53029970900","1240.6"
"Island","53029971000","1252.3"
"Island","53029971100","1252.3"
"Island","53029971300","1288.2"
"Island","53029971400","1341"
"Island","53029971500","974"
"Island","53029971600","1081.8"
"Island","53029971700","1122.6"
"Island","53029971800","992.4"
"Island","53029971900","1103.9"
"Island","53029972000","1148.8"
"Island","53029972100","1153.9"
"Island","53029992201","1252.6"
"Jefferson","53031950202","1452.6"
"Jefferson","53031950300","1319.2"
"Jefferson","53031950400","1195"
"Jefferson","53031950500","1232"
"Jefferson","53031950601","1249"
"Jefferson","53031950602","1249"
"Jefferson","53031950702","1453.5"
"Jefferson","53031990000","1035"
"King","53033000100","1764.2"
"King","53033000200","1762.8"
"King","53033000300","1762.8"
"King","53033000401","1761.9"
"King","53033000402","1761.9"
"King","53033000500","1761.9"
"King","53033000600","1761.9"
"King","53033000700","1761.9"
"King","53033000800","1761.9"
"King","53033000900","1763.3"
"King","53033001000","1761.9"
"King","53033001100","1761.9"
"King","53033001200","1761.9"
"King","53033001300","1761.9"
"King","53033001400","1761.9"
"King","53033001500","1766.9"
"King","53033001600","1766.9"
"King","53033001701","1766.9"
"King","53033001702","1766.9"
"King","53033001800","1766.9"
"King","53033001900","1766.9"
"King","53033002000","1766.9"
"King","53033002100","1766.9"
"King","53033002200","1766.9"
"King","53033002400","1766.9"
"King","53033002500","1766.9"
"King","53033002600","1766.9"
"King","53033002700","1766.9"
"King","53033002800","1766.9"
"King","53033002900","1766.9"
"King","53033003000","1766.9"
"King","53033003100","1766.9"
"King","53033003200","1582.8"
"King","53033003300","1582.8"
"King","53033003400","1582.8"
"King","53033003500","1582.8"
"King","53033003600","1582.8"
"King","53033003800","1766.9"
