County Name,Census Tract,Life Expectancy,Lower CI,Upper CI
Clark,53011042600,78.04,76.25,79.83
Clark,53011042700,80.04,77.88,82.21
Clark,53011042800,81.1,78.03,84.17
Clark,53011042900,79.25,75.77,82.72
Clark,53011043000,--,--,--
Clark,53011043100,80.22,78.15,82.29
Columbia,53013960200,78.57,76.25,80.9
Cowlitz,53015000300,--,--,--
Cowlitz,53015000400,78.15,75.77,80.54
Cowlitz,53015000501,75.84,73.28,78.41
Cowlitz,53015000502,70.94,69.06,72.83
Cowlitz,53015000601,76.9,74.37,79.43
Cowlitz,53015000602,80.72,77.96,83.47
Cowlitz,53015000702,77.6,74.88,80.32
Cowlitz,53015000703,76.94,74.24,79.63
Cowlitz,53015000704,77.95,76.58,79.32
Cowlitz,53015000800,81.61,80.01,83.22
Cowlitz,53015000900,77.31,75.66,78.96
Cowlitz,53015001000,--,--,--
Cowlitz,53015001100,74.17,72.26,76.09
Cowlitz,53015001200,78.77,76.35,81.2
Cowlitz,53015001300,77.37,75.08,79.65
Cowlitz,53015001501,82.25,79.5,85.01
Cowlitz,53015001502,77.75,76.38,79.11
Cowlitz,53015001600,80.6,79.24,81.95
Cowlitz,53015001700,79.59,77.87,81.3
Cowlitz,53015001800,77.97,75.19,80.75
Cowlitz,53015001900,78.89,77.25,80.54
Cowlitz,53015002001,81.67,79.75,83.59
Cowlitz,53015002002,76.74,74.88,78.6
Cowlitz,53015002100,68.08,65.94,70.23
Douglas,53017950100,87.08,84.96,89.2
Douglas,53017950200,79.24,75.81,82.66
Douglas,53017950300,81.94,80.19,83.7
Douglas,53017950400,81.84,80.6,83.08
Douglas,53017950500,80.82,78.29,83.34
Douglas,53017950600,85.39,83.65,87.13
Douglas,53017950700,81.98,80.05,83.9
Douglas,53017950800,82.67,81.06,84.27
Ferry,53019940000,79.94,76.63,83.25
Ferry,53019970100,81.68,78.13,85.23
Ferry,53019970200,77.71,74.33,81.09
Franklin,53021020100,79.82,77.98,81.66
Franklin,53021020200,78.63,76.42,80.84
Franklin,53021020300,81.79,79.98,83.6
Franklin,53021020400,77.64,76.09,79.2
Franklin,53021020501,82.59,80.8,84.38
Franklin,53021020502,82.74,81.45,84.03
Franklin,53021020601,81.47,80.22,82.72
Franklin,53021020603,78.89,76.17,81.62
Franklin,53021020605,83.77,82.24,85.3
Franklin,53021020606,82.87,81.45,84.29
Franklin,53021020700,--,--,--
Franklin,53021020800,87.41,85.75,89.08
Franklin,53021980100,--,--,--
Garfield,53023970300,81.5,77.98,85.03
Grant,53025010100,77.27,74.49,80.05
Grant,53025010200,78.21,75.59,80.84
Grant,53025010300,77.77,75.8,79.75
Grant,53025010400,81.01,79.35,82.67
Grant,53025010500,82.31,79.98,84.64
Grant,53025010600,83.41,81.54,85.28
Grant,53025010700,82.81,80.26,85.35
Grant,53025010800,75.65,73.76,77.54
Grant,53025010901,75.55,71.99,79.1
Grant,53025010902,77.08,75.85,78.31
Grant,53025011000,78.26,77.08,79.43
Grant,53025011100,78.91,77.34,80.49
Grant,53025011200,80.55,78.78,82.32
Grant,53025011300,80.63,78.18,83.08
Grant,53025011401,--,--,--
Grant,53025011402,84.65,83.14,86.17
Grays Harbor,53027000200,77.38,75.65,79.11
Grays Harbor,53027000300,79.29,77.19,81.39
Grays Harbor,53027000400,79.18,77.49,80.87
Grays Harbor,53027000500,78.73,77.26,80.2
Grays Harbor,53027000600,77.02,74.81,79.22
Grays Harbor,53027000700,76.51,74.44,78.58
Grays Harbor,53027000800,79.45,77.31,81.6
Grays Harbor,53027000900,75.52,73.81,77.22
Grays Harbor,53027001000,72.35,70,74.69
Grays Harbor,53027001100,77.3,74.92,79.68
Grays Harbor,53027001200,76.06,73.82,78.31
Grays Harbor,53027001300,73.44,70.99,75.9
Grays Harbor,53027001400,75.78,72.3,79.26
Grays Harbor,53027001500,76.1,73.94,78.25
Grays Harbor,53027001600,81.65,79.76,83.54
Grays Harbor,53027940000,68.46,65.12,71.8
Grays Harbor,53027990000,--,--,--
Island,53029970100,78.89,75.84,81.94
Island,53029970200,--,--,--
Island,53029970300,80.28,78.27,82.29
Island,53029970400,81.45,79.65,83.26
Island,53029970500,82.68,80.95,84.41
Island,53029970601,80.18,77.8,82.56
Island,53029970602,77.92,75.83,80
Island,53029970700,--,--,--
Island,53029970800,83.2,80.75,85.64
Island,53029970900,--,--,--
Island,53029971000,80.86,79.18,82.54
Island,53029971100,82,79.52,84.49
Island,53029971300,84.42,81.55,87.29
Island,53029971400,84.74,83.06,86.43
Island,53029971500,84.44,82.65,86.23
Island,53029971600,81.03,78.62,83.45
Island,53029971700,82.17,80.08,84.27
Island,53029971800,85.29,82.32,88.26
Island,53029971900,80.34,77.13,83.54
Island,53029972000,83.39,80.86,85.93
Island,53029972100,86.65,84.09,89.2
Island,53029992201,--,--,--
Jefferson,53031950202,83.58,80.79,86.36
Jefferson,53031950300,83.23,80.56,85.9
Jefferson,53031950400,81.05,78.7,83.4
Jefferson,53031950500,81.84,79.33,84.35
Jefferson,53031950601,80.31,78.72,81.91
Jefferson,53031950602,82.31,79.41,85.21
Jefferson,53031950702,--,--,--
Jefferson,53031990000,--,--,--
