"cause","exposure","mean","lower","upper"
"cvd_ihd",1276,2.01596827547953,1.67362942649368,2.4019011178216
"cvd_ihd",1277,2.0159691203007,1.6736299386241,2.40190236838884
"cvd_ihd",1278,2.01596996512224,1.67363045075467,2.40190361895673
"cvd_ihd",1279,2.01597080994414,1.67363096288541,2.40190486952528
"cvd_ihd",1280,2.01597165476639,1.6736314750163,2.40190612009447
"cvd_ihd",1281,2.01597249958902,1.67363198714735,2.40190737066433
"cvd_ihd",1282,2.01597334441199,1.67363249927856,2.40190862123482
"cvd_ihd",1283,2.01597418923533,1.67363301140992,2.40190987180596
"cvd_ihd",1284,2.01597503405903,1.67363352354144,2.40191112237777
"cvd_ihd",1285,2.01597587888308,1.67363403567311,2.40191237295021
"cvd_ihd",1286,2.0159767237075,1.67363454780494,2.40191362352332
"cvd_ihd",1287,2.01597756853227,1.67363505993693,2.40191487409707
"cvd_ihd",1288,2.01597841335741,1.67363557206907,2.40191612467147
"cvd_ihd",1289,2.01597925818291,1.67363608420138,2.40191737524653
"cvd_ihd",1290,2.01598010300876,1.67363659633383,2.40191862582224
"cvd_ihd",1291,2.01598094783498,1.67363710846645,2.4019198763986
"cvd_ihd",1292,2.01598179266155,1.67363762059922,2.4019211269756
"cvd_ihd",1293,2.0159826374885,1.67363813273215,2.40192237755327
"cvd_ihd",1294,2.01598348231579,1.67363864486524,2.40192362813158
"cvd_ihd",1295,2.01598432714345,1.67363915699848,2.40192487871054
"cvd_ihd",1296,2.01598517197146,1.67363966913188,2.40192612929015
"cvd_ihd",1297,2.01598601679984,1.67364018126543,2.40192737987041
"cvd_ihd",1298,2.01598686162858,1.67364069339915,2.40192863045133
"cvd_ihd",1299,2.01598770645767,1.67364120553302,2.4019298810329
"cvd_ihd",1300,2.01598855128713,1.67364171766704,2.40193113161512
"cvd_ihd",1301,2.01598939611695,1.67364222980122,2.40193238219799
"cvd_ihd",1302,2.01599024094712,1.67364274193556,2.4019336327815
"cvd_ihd",1303,2.01599108577766,1.67364325407006,2.40193488336568
"cvd_ihd",1304,2.01599193060856,1.67364376620471,2.4019361339505
"cvd_ihd",1305,2.01599277543981,1.67364427833952,2.40193738453597
"cvd_ihd",1306,2.01599362027142,1.67364479047448,2.40193863512209
"cvd_ihd",1307,2.01599446510341,1.67364530260961,2.40193988570888
"cvd_ihd",1308,2.01599530993574,1.67364581474489,2.4019411362963
"cvd_ihd",1309,2.01599615476844,1.67364632688032,2.40194238688438
"cvd_ihd",1310,2.01599699960149,1.67364683901592,2.40194363747311
"cvd_ihd",1311,2.01599784443491,1.67364735115167,2.40194488806249
"cvd_ihd",1312,2.01599868926868,1.67364786328757,2.40194613865252
"cvd_ihd",1313,2.01599953410282,1.67364837542364,2.4019473892432
"cvd_ihd",1314,2.01600037893732,1.67364888755985,2.40194863983454
"cvd_ihd",1315,2.01600122377217,1.67364939969623,2.40194989042652
"cvd_ihd",1316,2.01600206860739,1.67364991183277,2.40195114101916
"cvd_ihd",1317,2.01600291344297,1.67365042396946,2.40195239161245
"cvd_ihd",1318,2.0160037582789,1.6736509361063,2.40195364220638
"cvd_ihd",1319,2.0160046031152,1.6736514482433,2.40195489280097
"cvd_ihd",1320,2.01600544795185,1.67365196038047,2.40195614339621
"cvd_ihd",1321,2.01600629278887,1.67365247251778,2.40195739399211
"cvd_ihd",1322,2.01600713762625,1.67365298465526,2.40195864458865
"cvd_ihd",1323,2.01600798246398,1.67365349679289,2.40195989518584
"cvd_ihd",1324,2.01600882730208,1.67365400893068,2.4019611457837
"cvd_ihd",1325,2.01600967214053,1.67365452106862,2.40196239638218
"cvd_ihd",1326,2.01601051697935,1.67365503320672,2.40196364698134
"cvd_ihd",1327,2.01601136181853,1.67365554534497,2.40196489758113
"cvd_ihd",1328,2.01601220665806,1.67365605748339,2.40196614818158
"cvd_ihd",1329,2.01601305149796,1.67365656962196,2.40196739878268
"cvd_ihd",1330,2.01601389633821,1.67365708176068,2.40196864938443
"cvd_ihd",1331,2.01601474117883,1.67365759389957,2.40196989998684
"cvd_ihd",1332,2.01601558601981,1.67365810603861,2.40197115058989
"cvd_ihd",1333,2.01601643086114,1.67365861817781,2.4019724011936
"cvd_ihd",1334,2.01601727570284,1.67365913031716,2.40197365179796
"cvd_ihd",1335,2.01601812054489,1.67365964245667,2.40197490240296
"cvd_ihd",1336,2.01601896538731,1.67366015459634,2.40197615300863
"cvd_ihd",1337,2.01601981023008,1.67366066673616,2.40197740361493
"cvd_ihd",1338,2.01602065507322,1.67366117887615,2.40197865422189
"cvd_ihd",1339,2.01602149991671,1.67366169101628,2.40197990482951
"cvd_ihd",1340,2.01602234476057,1.67366220315658,2.40198115543776
"cvd_ihd",1341,2.01602318960478,1.67366271529703,2.40198240604668
"cvd_ihd",1342,2.01602403444936,1.67366322743764,2.40198365665625
"cvd_ihd",1343,2.0160248792943,1.6736637395784,2.40198490726646
"cvd_ihd",1344,2.01602572413959,1.67366425171932,2.40198615787733
"cvd_ihd",1345,2.01602656898524,1.6736647638604,2.40198740848885
"cvd_ihd",1346,2.01602741383126,1.67366527600163,2.40198865910102
"cvd_ihd",1347,2.01602825867763,1.67366578814302,2.40198990971384
"cvd_ihd",1348,2.01602910352437,1.67366630028457,2.40199116032731
"cvd_ihd",1349,2.01602994837147,1.67366681242628,2.40199241094144
"cvd_ihd",1350,2.01603079321892,1.67366732456814,2.40199366155622
"cvd_ihd",1351,2.01603163806674,1.67366783671016,2.40199491217164
"cvd_ihd",1352,2.01603248291491,1.67366834885233,2.40199616278771
"cvd_ihd",1353,2.01603332776345,1.67366886099466,2.40199741340444
"cvd_ihd",1354,2.01603417261234,1.67366937313715,2.40199866402182
"cvd_ihd",1355,2.0160350174616,1.6736698852798,2.40199991463985
"cvd_ihd",1356,2.01603586231121,1.6736703974226,2.40200116525853
"cvd_ihd",1357,2.01603670716119,1.67367090956556,2.40200241587787
"cvd_ihd",1358,2.01603755201152,1.67367142170867,2.40200366649785
"cvd_ihd",1359,2.01603839686222,1.67367193385194,2.40200491711849
"cvd_ihd",1360,2.01603924171327,1.67367244599537,2.40200616773977
"cvd_ihd",1361,2.01604008656469,1.67367295813896,2.40200741836171
"cvd_ihd",1362,2.01604093141646,1.6736734702827,2.4020086689843
"cvd_ihd",1363,2.0160417762686,1.6736739824266,2.40200991960754
"cvd_ihd",1364,2.01604262112109,1.67367449457066,2.40201117023143
"cvd_ihd",1365,2.01604346597395,1.67367500671487,2.40201242085597
"cvd_ihd",1366,2.01604431082716,1.67367551885924,2.40201367148116
"cvd_ihd",1367,2.01604515568074,1.67367603100376,2.402014922107
"cvd_ihd",1368,2.01604600053467,1.67367654314844,2.4020161727335
"cvd_ihd",1369,2.01604684538897,1.67367705529328,2.40201742336065
"cvd_ihd",1370,2.01604769024362,1.67367756743828,2.40201867398845
"cvd_ihd",1371,2.01604853509864,1.67367807958343,2.4020199246169
"cvd_ihd",1372,2.01604937995401,1.67367859172874,2.40202117524599
"cvd_ihd",1373,2.01605022480975,1.67367910387421,2.40202242587575
"cvd_ihd",1374,2.01605106966584,1.67367961601983,2.40202367650614
"cvd_ihd",1375,2.0160519145223,1.67368012816561,2.4020249271372
"cvd_ihd",1376,2.01605275937911,1.67368064031154,2.4020261777689
"cvd_ihd",1377,2.01605360423629,1.67368115245764,2.40202742840127
"cvd_ihd",1378,2.01605444909382,1.67368166460389,2.40202867903427
"cvd_ihd",1379,2.01605529395172,1.67368217675029,2.40202992966793
"cvd_ihd",1380,2.01605613880997,1.67368268889686,2.40203118030224
"cvd_ihd",1381,2.01605698366859,1.67368320104358,2.4020324309372
"cvd_ihd",1382,2.01605782852756,1.67368371319045,2.4020336815728
"cvd_ihd",1383,2.0160586733869,1.67368422533749,2.40203493220907
